ID,Donor,Acceptor,DA,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,Layer thickness [nm],features_D.1.c_UV,features_D.1a.w_UV,features_D.1a.c_UV,features_D.2.a_UV,features_A.0.a_UV,features_A.1.w_UV,features_A.1.c_UV,features_A.1a.w_UV,features_atot_UV,features_XD_UV,features_XA_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,Deg_JSC_IV,Deg_VOC_IV,Deg_FF_IV,Deg_PCE_IV,Retained_JSC_IV,Retained_VOC_IV,Retained_FF_IV,Retained_PCE_IV,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127
4,PM6,Y12,PM6-Y12,xylene,0,23,1000,234.6855141,2.003769433,0.079922572,2.167517621,0.630505758,0.007421707,0.071433186,1.531243592,0.093672436,0.644823563,0.478692245,0.521307755,46.55947455,25.64821416,9.768586131,0.818024872,26.6636,0.7697,55.46,11.3814,1.039588949,0.940924936,1.191164646,1.165102078,1,0,0,0,0,1,0,0,0,0
4,PM6,Y12,PM6-Y12,xylene,0,23,1000,232.3002908,2.003704262,0.079983781,2.167480724,0.629518395,0.006503386,0.071238965,1.531499539,0.093565478,0.638812759,0.47855552,0.52144448,46.59625217,24.99811604,9.555223511,0.820318647,25.7951,0.7689,54.82,10.8717,1.031881761,0.937318691,1.17648947,1.137775583,1,0,0,0,0,1,0,0,0,0
4,PM6,Y12,PM6-Y12,xylene,0,23,1000,234.9216856,2.003748635,0.079915265,2.167398305,0.631090265,0.00758463,0.071347711,1.531466988,0.093591527,0.646183311,0.478001981,0.521998019,46.00570179,25.11270772,9.44318185,0.817359568,26.3466,0.765,54.48,10.9797,1.049134179,0.935940595,1.184201042,1.162711909,1,0,0,0,0,1,0,0,0,0
5,PM6,Y12,PM6-Y12,xylene,2,23,1000,236.2816979,1.998633195,0.078508165,2.163978247,0.674943886,0.006960853,0.069127081,1.512610286,0.094297467,0.652167716,0.469652326,0.530347674,47.46906613,25.77554762,9.775360003,0.798940012,24.279,0.7524,56.45,10.3117,0.94193925,0.941747802,1.189195504,1.054866521,1,0,0,0,0,1,0,0,0,0
5,PM6,Y12,PM6-Y12,xylene,2,23,1000,234.933305,1.998555839,0.078464144,2.163891895,0.67613959,0.006726951,0.069153567,1.512625394,0.094323192,0.649109735,0.469103511,0.530896489,47.66726647,24.93986821,9.541904495,0.802639749,23.4157,0.758,55.89,9.9205,0.938886276,0.94438383,1.172502729,1.039677143,1,0,0,0,0,1,0,0,0,0
5,PM6,Y12,PM6-Y12,xylene,2,23,1000,239.9985605,1.998613019,0.078309628,2.164071285,0.674474317,0.00849717,0.069160235,1.51263472,0.094261086,0.662930103,0.468873212,0.531126788,47.26142822,25.09869849,9.524835579,0.80297023,23.5182,0.7585,55.11,9.8315,0.937028667,0.944617835,1.166067173,1.032196296,1,0,0,0,0,1,0,0,0,0
5,PM6,Y12,PM6-Y12,xylene,2,23,1000,238.5674806,1.998684328,0.078484129,2.164024708,0.675198102,0.007872434,0.069127565,1.51249129,0.094364295,0.658639006,0.469203267,0.530796733,47.18185744,25.07071573,9.473427112,0.800876133,24.2749,0.7608,54.76,10.1133,0.96825716,0.949959636,1.160615605,1.067543971,1,0,0,0,0,1,0,0,0,0
6,PM6,Y12,PM6-Y12,xylene,0,23,3000,121.7282892,2.002162707,0.081302209,2.166711195,0.582764407,0.030858007,0.070546209,1.531661681,0.09370746,0.344120303,0.46991746,0.53008254,64.20366582,26.51396567,14.26294872,0.837866459,0.0014,0.715,18.12,0.0002,5.28024E-05,0.853357945,0.282226875,1.40223E-05,1,0,0,0,0,1,0,0,0,0
6,PM6,Y12,PM6-Y12,xylene,0,23,3000,120.8035997,2.00211245,0.081248395,2.16659948,0.584099216,0.031452712,0.070669757,1.531287548,0.093853928,0.341881215,0.469277813,0.530722187,63.87961404,26.60688785,14.23015368,0.837246282,24.5273,0.7766,63.01,12.0025,0.921840244,0.927564585,0.986386674,0.843455403,1,0,0,0,0,1,0,0,0,0
6,PM6,Y12,PM6-Y12,xylene,0,23,3000,121.4094307,2.002315449,0.0812746,2.166723314,0.584352389,0.030918219,0.070252448,1.532258589,0.093554957,0.342898081,0.470534578,0.529465422,63.55065007,26.48936404,14.08774223,0.836854329,24.2997,0.7728,64.12,12.0416,0.917337991,0.923458209,1.008958995,0.854757264,1,0,0,0,0,1,0,0,0,0
