plan_Info_PID,plan_Solutions_1_M1,plan_Solutions_1_M2,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,features_A.1.c_UV,features_A.1a.a_UV,features_A.1a.c_UV,features_A.1a.w_UV,features_A_UV,features_Atot_UV,features_D.1.w_UV,features_D.1a.a_UV,features_D.1a.c_UV,features_D.1a.w_UV,features_D.2.a_UV,features_D_UV,features_Dtot_UV,features_XA_UV,features_XD_UV,features_XamA_UV,features_XamD_UV,features_atot_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,date_IV,pos_IV,sigp_IV,xpos_IV,ypos_IV,EnergyLevel_HOMO_Acceptor,EnergyLevel_HOMO_Donor,EnergyLevel_LUMO_Acceptor,EnergyLevel_LUMO_Donor,EnergyLevel_Offset,plan2_Solutions_1_M1,plan2_Solutions_1_M2,plan2_Solutions_1_S1,FitSessionName,Overall_FitSessionName,date_UV,name_UV,pos_UV,res_UV,xpos_UV,ypos_UV,PseudoFeature_M1,PseudoFeature_M2,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127,Paper_PID
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.530292232,0.7,1.697059162,0.104291287,0.248823913,0.423000651,0.071535041,0.61,2.146248039,0.087284342,0.814978496,0.227554157,0.366362193,0.53587606,0.46412394,0.411764706,0.378881988,0.789362845,58.20494287,26.23225512,12.66127715,0.829243394,13.11.2023 14:15,B-3,1.35E-06,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:41,25290_187773_OD_x3y2,x3y2,0.006472004,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,3
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.528752774,0.7,1.696885722,0.105401545,0.241751976,0.410978359,0.070871385,0.61,2.145548726,0.086702921,0.822623421,0.218760762,0.352204828,0.53850552,0.46149448,0.411764706,0.378881988,0.763183186,57.76419676,25.99830155,12.44292373,0.828550004,13.11.2023 14:15,A-3,1.30E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:41,25290_187773_OD_x3y1,x3y1,0.006466973,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,3
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.526923763,0.7,1.69687994,0.107430954,0.373676197,0.635249536,0.07120162,0.61,2.147429851,0.086126598,0.837633768,0.33413357,0.537955047,0.54146527,0.45853473,0.411764706,0.378881988,1.173204582,46.56550351,25.63623761,9.789595369,0.820060984,13.11.2023 14:18,A-1,2.80E-06,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:47,25291_187774_OD_x1y1,x1y1,0.00645646,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,4
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.527481793,0.7,1.696945601,0.10739353,0.374471429,0.636601429,0.07119056,0.61,2.14745211,0.086159849,0.836015767,0.335495673,0.540148033,0.540982979,0.459017021,0.411764706,0.378881988,1.176749463,46.55947455,25.64821416,9.768586131,0.818024872,13.11.2023 14:18,B-1,3.33E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:47,25291_187774_OD_x1y2,x1y2,0.00628363,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,4
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.527799857,0.7,1.697035466,0.10716641,0.370828405,0.630408289,0.071104603,0.61,2.147223657,0.086109047,0.837668783,0.332005196,0.534528365,0.54115242,0.45884758,0.411764706,0.378881988,1.164936654,46.59625217,24.99811604,9.555223511,0.820318647,13.11.2023 14:18,A-3,2.99E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:47,25291_187774_OD_x3y1,x3y1,0.006197032,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,4
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.527705035,0.7,1.697045286,0.107321302,0.37527985,0.637975745,0.071157961,0.61,2.147305388,0.086091107,0.837730705,0.335185423,0.539648532,0.541748126,0.458251874,0.411764706,0.378881988,1.177624277,46.00570179,25.11270772,9.44318185,0.817359568,13.11.2023 14:18,B-2,2.71E-06,1,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:47,25291_187774_OD_x2y2,x2y2,0.006327935,1,0.6,1,1,1,0,0,0,0,1,0,0,0,0,4
25292,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,2,23,1000,1.508249556,0.7,1.683779585,0.107815146,0.377312346,0.641430989,0.072332269,0.61,2.146181657,0.087096792,0.837346366,0.332848388,0.535885904,0.544824416,0.455175584,0.411764706,0.378881988,1.177316893,47.46906613,25.77554762,9.775360003,0.798940012,13.11.2023 14:20,B-3,8.88E-07,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:52,25292_187775_OD_x3y2,x3y2,0.007741841,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,5
25292,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,2,23,1000,1.508261781,0.7,1.683753467,0.107767769,0.375420619,0.638215053,0.072455701,0.61,2.146239534,0.087201167,0.835305169,0.330922641,0.532785453,0.545016889,0.454983111,0.411764706,0.378881988,1.171000505,47.66726647,24.93986821,9.541904495,0.802639749,13.11.2023 14:20,A-3,1.21E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:52,25292_187775_OD_x3y1,x3y1,0.007503097,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,5
25292,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,2,23,1000,1.508181066,0.7,1.683886446,0.10802435,0.383954904,0.652723337,0.072170662,0.61,2.1463265,0.086794649,0.838585246,0.336927085,0.542452607,0.546131588,0.453868412,0.411764706,0.378881988,1.195175944,47.26142822,25.09869849,9.524835579,0.80297023,13.11.2023 14:20,A-2,1.53E-06,1,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:52,25292_187775_OD_x2y1,x2y1,0.008363862,1,1.4,1,1,1,0,0,0,0,1,0,0,0,0,5
25292,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,2,23,1000,1.508095144,0.7,1.683678744,0.108045378,0.381302177,0.6482137,0.072248303,0.61,2.146203212,0.086980843,0.839519405,0.335278774,0.539798827,0.545628674,0.454371326,0.411764706,0.378881988,1.188012527,47.18185744,25.07071573,9.473427112,0.800876133,13.11.2023 14:20,B-1,8.61E-07,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:52,25292_187775_OD_x1y2,x1y2,0.007985071,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,5
