GPR Method,Donor,Acceptor,RMSE(train),RMSE(test),R2,dR2,R2_Proxy,R2CV_Proxy,RMSE_Proxy,Target Parameter,Used Proxies,Available Proxies,dR2s[1],dR2s[2],dR2s[3],dR2s[4],dR2s[5],dR2s[6],dR2s[7],dR2s_2[1],dR2s_2[2],dR2s_2[3],dR2s_2[4],dR2s_2[5],dR2s_2[6],dR2s_2[7],RMSE[1],RMSE[2],RMSE[3],RMSE[4],RMSE[5],RMSE[6],RMSE[7],MainPath,length_scales_start,length_scale_lims,ShuffleTimes,MainFolderName,HowManyBestPixelsPerSubstrate
PlanToSpectralParameters,PM6,L8-BO,0.00106,0.00108,0.727,0.631,0.855,0.824,0.00076,features_D.1a.c_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.833,0.022,-1,-1,-1,-1,-1,0.0121,0.0045,-1,-1,-1,-1,-1,0.00084,0.00076,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.00413,0.00382,0.979,0.981,0.981,0.977,0.00407,features_D.2.a_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.9,0.049,0.033,-1,-1,-1,-1,0.006,0.0026,0.001,-1,-1,-1,-1,0.0091,0.00547,0.00407,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.00757,0.00765,0.949,0.946,0.947,0.957,0.00698,features_A.0.a_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.949,-0.002,-1,-1,-1,-1,-1,0.0024,0.0009,-1,-1,-1,-1,-1,0.00744,0.00698,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.00188,0.00195,0.509,-0.258,0.802,0.568,0.00123,features_A.1.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.391,0.412,-1,-1,-1,-1,-1,0.0343,0.0113,-1,-1,-1,-1,-1,0.00206,0.00123,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.00177,0.002,0.891,0.868,0.922,0.871,0.00165,features_A.1.c_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.804,0.091,0.028,-1,-1,-1,-1,0.0042,0.0292,0.0293,-1,-1,-1,-1,0.00232,0.00178,0.00165,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.00158,0.0015,0.067,-0.42,0.738,0.471,0.00083,features_A.1a.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.626,0.112,-1,-1,-1,-1,-1,0.013,0.0127,-1,-1,-1,-1,-1,0.001,0.00083,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.00117,0.00116,0.888,0.85,0.991,0.982,0.00036,features_A.1a.c_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.912,0.079,-1,-1,-1,-1,-1,0.0063,0.0038,-1,-1,-1,-1,-1,0.001,0.00036,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.01746,0.01734,0.953,0.955,0.953,0.959,0.01513,features_D_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.074,0.88,-0.001,-1,-1,-1,-1,0.0661,0.0022,0.0013,-1,-1,-1,-1,0.07921,0.01594,0.01513,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.01042,0.01067,0.977,0.971,0.979,0.973,0.01008,features_A_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.839,0.135,0.005,-1,-1,-1,-1,0,0.0015,0.002,-1,-1,-1,-1,0.02392,0.01062,0.01008,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.02371,0.02366,0.955,0.954,0.954,0.949,0.02232,features_Dtot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.848,0.106,-1,-1,-1,-1,-1,0,0.0024,-1,-1,-1,-1,-1,0.0392,0.02232,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.10681,0.10771,-0.007,-0.171,-0.015,-0.406,0.10676,features_Atot_UV,plan_Solutions_1_ann. time,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",-0.015,-1,-1,-1,-1,-1,-1,0.0512,-1,-1,-1,-1,-1,-1,0.10676,-1,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.0395,0.04205,0.967,0.944,0.964,0.968,0.03722,features_atot_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.846,0.118,-1,-1,-1,-1,-1,0.0025,0.0017,-1,-1,-1,-1,-1,0.07403,0.03722,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.00356,0.00375,0.849,0.787,0.943,0.945,0.00249,features_XD_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.681,0.262,-1,-1,-1,-1,-1,0.016,0.0039,-1,-1,-1,-1,-1,0.00585,0.00249,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PM6,L8-BO,0.01036,0.01071,-0.005,-0.667,-0.032,-0.126,0.00991,features_XA_UV,plan_Solutions_1_speed,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",-0.032,-1,-1,-1,-1,-1,-1,0.0474,-1,-1,-1,-1,-1,-1,0.00991,-1,-1,-1,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PM6,L8-BO,0.22256,0.21896,0.92,0.891,0.933,0.943,0.18174,JSC_IV,"features_A.1a.w_UV, features_D_UV, features_D.1a.c_UV, features_XA_UV",features_,0.677,0.219,0.042,-0.005,-1,-1,-1,0.0185,0.0034,0.0022,0.0057,-1,-1,-1,0.45194,0.26032,0.18011,0.18174,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PM6,L8-BO,0.6096,0.64956,0.975,0.963,0.984,0.983,0.5317,FF_IV,"features_A_UV, features_A.1a.c_UV, features_Dtot_UV, features_D.1a.w_UV",features_,0.975,0.005,0.002,0.001,-1,-1,-1,0.0012,0.0018,0,0.002,-1,-1,-1,0.61441,0.52345,0.53269,0.5317,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PM6,L8-BO,0.00138,0.00146,0.977,0.969,0.973,0.983,0.00135,VOC_IV,"features_atot_UV, features_XD_UV, features_D_UV, features_A_UV",features_,0.862,0.089,0.026,-0.004,-1,-1,-1,0.007,0.0038,0,0.0008,-1,-1,-1,0.00328,0.00207,0.00151,0.00135,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,PM6,L8-BO,0.14616,0.16259,0.968,0.966,0.976,0.983,0.10972,PCE_IV,"features_D_UV, features_D.1.c_UV, features_XA_UV, features_XD_UV",features_,0.869,0.096,0.015,-0.005,-1,-1,-1,0.0074,0.0211,0.0052,0,-1,-1,-1,0.29547,0.15695,0.12328,0.10972,-1,-1,-1,PM6-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,D18CL,L8-BO,0.26057,0.2727,0.91,0.785,0.912,0.734,0.25018,PCE_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.39,0.26,0.262,-1,-1,-1,-1,0.0194,0.0315,0.0107,-1,-1,-1,-1,0.62438,0.56307,0.25018,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,D18CL,L8-BO,0.79655,0.86265,0.904,0.838,0.898,0.837,0.7809,FF_IV,"plan_Solutions_1_ann. time, plan_Solutions_1_conc., plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.192,0.464,0.242,-1,-1,-1,-1,0.0471,0.0204,0.0031,-1,-1,-1,-1,2.34535,1.54647,0.7809,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,D18CL,L8-BO,0.23685,0.24103,0.902,0.904,0.912,0.834,0.24678,JSC_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.671,0.09,0.151,-1,-1,-1,-1,0.0161,0.0542,0.009,-1,-1,-1,-1,0.46708,0.38699,0.24678,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,D18CL,L8-BO,0.00168,0.00163,0.951,0.918,0.954,0.842,0.00171,VOC_IV,"plan_Solutions_1_ann. time, plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.793,0.161,0,-1,-1,-1,-1,0.01,0.0029,0.0029,-1,-1,-1,-1,0.00343,0.00166,0.00171,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00098,0.00097,0.859,0.811,0.865,0.813,0.0009,features_D.1.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.448,0.418,-1,-1,-1,-1,-1,0.0312,0.0109,-1,-1,-1,-1,-1,0.0018,0.0009,-1,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00077,0.00075,0.992,0.992,0.992,0.993,0.00069,features_D.1a.w_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_conc., plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.99,0.001,0,-1,-1,-1,-1,0.0007,0.0014,0.0006,-1,-1,-1,-1,0.0009,0.00072,0.00069,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00236,0.00241,0.905,0.833,0.924,0.886,0.00201,features_D.1a.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.413,0.364,0.147,-1,-1,-1,-1,0.0334,0.0084,0.0164,-1,-1,-1,-1,0.00598,0.00384,0.00201,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00688,0.00688,0.911,0.92,0.915,0.884,0.00695,features_A.0.a_UV,"plan_Solutions_1_ann. time, plan_Solutions_1_conc., plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.006,0.905,0.005,-1,-1,-1,-1,0.0354,0.0049,0.0101,-1,-1,-1,-1,0.02324,0.00701,0.00695,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00041,0.00042,0.949,0.903,0.95,0.934,0.0004,features_A.1.w_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.564,0.364,0.021,-1,-1,-1,-1,0.0207,0.0025,0.0025,-1,-1,-1,-1,0.00122,0.00049,0.0004,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00209,0.00202,0.945,0.938,0.966,0.954,0.00174,features_A.1.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.353,0.39,0.223,-1,-1,-1,-1,0.0564,0.0119,0.0081,-1,-1,-1,-1,0.00754,0.00431,0.00174,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00037,0.0004,0.988,0.986,0.988,0.985,0.00037,features_A.1a.w_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.506,0.338,0.145,-1,-1,-1,-1,0.0211,0.0102,0.0006,-1,-1,-1,-1,0.00242,0.00142,0.00037,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00115,0.00125,0.961,0.946,0.966,0.96,0.00109,features_A.1a.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.512,0.366,0.089,-1,-1,-1,-1,0.0392,0.006,0.0072,-1,-1,-1,-1,0.004,0.00213,0.00109,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00518,0.00511,0.975,0.969,0.977,0.963,0.00531,features_D_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.466,0.442,0.069,-1,-1,-1,-1,0.0427,0.0143,0.0015,-1,-1,-1,-1,0.02302,0.0099,0.00531,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00643,0.00659,0.985,0.985,0.986,0.98,0.00636,features_A_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.595,0.391,0.001,-1,-1,-1,-1,0.0224,0.0011,0.0008,-1,-1,-1,-1,0.03353,0.00615,0.00636,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00916,0.00914,0.98,0.97,0.982,0.98,0.00896,features_Dtot_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.613,0.367,0.002,-1,-1,-1,-1,0.021,0.0018,0.0008,-1,-1,-1,-1,0.04083,0.00899,0.00896,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.01005,0.01046,0.985,0.986,0.985,0.983,0.01018,features_Atot_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.598,0.387,-1,-1,-1,-1,-1,0.0252,0.0005,-1,-1,-1,-1,-1,0.05461,0.01018,-1,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.01868,0.01922,0.984,0.981,0.985,0.99,0.02053,features_atot_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.596,0.387,0.001,-1,-1,-1,-1,0.019,0.0012,0,-1,-1,-1,-1,0.09132,0.01759,0.02053,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00421,0.00438,0.942,0.922,0.945,0.942,0.00389,features_XD_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.417,0.498,0.029,-1,-1,-1,-1,0.0414,0.0142,0.0103,-1,-1,-1,-1,0.01237,0.00537,0.00389,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,D18CL,L8-BO,0.00338,0.0034,0.962,0.955,0.962,0.96,0.00324,features_XA_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.403,0.542,0.017,-1,-1,-1,-1,0.0362,0.0018,0.0018,-1,-1,-1,-1,0.01287,0.0042,0.00324,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,D18CL,L8-BO,0.28239,0.28654,0.86,0.813,0.854,0.867,0.26332,JSC_IV,"features_atot_UV, features_A.1a.w_UV, features_D_UV",features_,0.697,0.167,-0.01,-1,-1,-1,-1,0.0241,0.0049,0.0084,-1,-1,-1,-1,0.40725,0.27715,0.26332,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,D18CL,L8-BO,1.01133,1.0845,0.846,0.737,0.839,0.837,1.01668,FF_IV,"features_A.1a.w_UV, features_XA_UV, features_A.1a.c_UV",features_,0.718,0.08,0.041,-1,-1,-1,-1,0.0097,0.0105,0.0106,-1,-1,-1,-1,1.29645,1.15393,1.01668,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,D18CL,L8-BO,0.00172,0.00174,0.949,0.936,0.952,0.911,0.00186,VOC_IV,"features_A.1.c_UV, features_XA_UV",features_,0.757,0.195,-1,-1,-1,-1,-1,0.0105,0.0031,-1,-1,-1,-1,-1,0.0039,0.00186,-1,-1,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
BestFeatureToIV,D18CL,L8-BO,0.33434,0.32585,0.853,0.726,0.854,0.788,0.31934,PCE_IV,"features_A.1a.w_UV, features_A.1a.c_UV, features_atot_UV, features_D.1a.c_UV",features_,0.722,0.137,-0.008,0.002,-1,-1,-1,0.007,0.0044,0.0068,0.0019,-1,-1,-1,0.41944,0.34576,0.31551,0.31934,-1,-1,-1,D18CL-L8-BO,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
